location,reference_date,decrease,increase,stable
28,2024-01-27,0.3319094154134238,0.2742699982444847,0.3938205863420914
28,2024-02-03,0.3088536194215561,0.2668804954930044,0.4242658850854394
28,2024-02-10,0.1306532663316583,0.0276381909547738,0.8417085427135679
28,2024-02-17,0.0166369578134284,0.0106951871657754,0.9726678550207962
28,2024-02-24,0.1142684401451027,0.0024183796856106,0.8833131801692866
28,2024-03-02,0.0030287733467945,0.0015143866733972,0.9954568399798082
28,2024-03-09,0.015,0.013,0.972
28,2024-03-16,0.131,0.002,0.867
28,2024-03-23,0.058,0.008,0.934
28,2024-03-30,0.002,0.016,0.982
28,2024-04-06,0.022,0.01,0.968
28,2024-04-13,0.248,0.002,0.75
28,2024-04-20,0.002,0.011,0.987
28,2024-04-27,0.0,0.018,0.982
28,2024-05-04,0.0,0.019,0.981
28,2024-11-30,0.0034188034188034,0.3252136752136751,0.6713675213675213
28,2024-12-07,0.0975494816211121,0.2803958529688972,0.6220546654099905
28,2024-12-14,0.203111305872042,0.32800175284837857,0.4688869412795793
28,2024-12-21,0.1488606096478248,0.452500739863865,0.3986386504883101
28,2024-12-28,0.037593984962406,0.7243107769423559,0.238095238095238
28,2025-01-04,0.0049627791563275,0.987593052109181,0.0074441687344913
28,2025-01-11,0.0141176470588235,0.9505882352941176,0.0352941176470588
28,2025-01-18,0.0605296343001261,0.8205128205128205,0.1189575451870533
28,2025-02-01,0.4439784301977231,0.3565008987417614,0.1995206710605152
28,2025-02-08,0.8872120730738681,0.06513105639396341,0.0476568705321683
28,2025-02-15,0.0964169381107491,0.809771986970684,0.0938110749185667
28,2025-02-22,0.3625260649389335,0.39946380697050937,0.238010128090557
28,2025-03-01,0.6566502988898377,0.1583582408198121,0.1849914602903501
28,2025-03-08,0.7399805117776648,0.0916158278257921,0.1684036603965429
28,2025-03-15,0.87065305421258,0.0423834883549709,0.086963457432449
28,2025-03-22,0.9640830579285402,0.006968260896676395,0.0289486811747833
29,2023-10-14,0.0,0.0042016806722689,0.9957983193277312
29,2023-10-21,0.0,0.0,1.0
29,2023-10-28,0.0,0.0,1.0
29,2023-11-04,0.0,0.0,1.0
29,2023-11-11,0.0,0.0,1.0
29,2023-11-18,0.0,0.0,1.0
29,2023-11-25,0.0,0.000623247117482,0.999376752882518
29,2023-12-02,0.0,0.0022988505747126,0.9977011494252872
29,2023-12-09,0.0,0.0188394875659382,0.9811605124340618
29,2023-12-16,0.0084989976612094,0.31085031740728364,0.6806506849315068
29,2023-12-23,0.0001973359644795,0.46326591021213614,0.5365367538233843
29,2023-12-30,0.000838867528836,0.1228241873470813,0.8763369451240824
29,2024-01-06,0.0003141690229343,0.5962928055293748,0.4033930254476908
29,2024-01-13,0.0,0.5614200439836632,0.4385799560163368
29,2024-01-20,0.0068886337543053,0.0539609644087256,0.939150401836969
29,2024-01-27,0.1526648599819331,0.1451370069256247,0.7021981330924421
29,2024-02-03,0.1352579524191392,0.015503875968992201,0.8492381716118684
29,2024-02-10,0.2594880847308032,0.0008826125330979,0.7396293027360988
29,2024-02-17,0.6896870460847748,0.0,0.3103129539152251
29,2024-02-24,0.9580536912751678,0.0,0.0419463087248322
29,2024-03-02,1.0,0.0,0.0
29,2024-03-09,0.963,0.0,0.037
29,2024-03-16,0.964,0.0,0.036
29,2024-03-23,0.903,0.0,0.097
29,2024-03-30,0.157,0.0,0.843
29,2024-04-06,0.208,0.0,0.792
29,2024-04-13,0.036,0.0,0.964
29,2024-04-20,0.0,0.0,1.0
29,2024-04-27,0.0,0.0,1.0
29,2024-05-04,0.0,0.0,1.0
29,2024-11-30,0.0186161960905988,0.0909090909090909,0.8904747130003102
29,2024-12-07,0.0107881330536409,0.0875037458795325,0.9017081210668264
29,2024-12-14,0.022883295194508,0.1261441647597254,0.8509725400457666
29,2024-12-21,0.0138121546961325,0.3646408839779005,0.6215469613259669
29,2024-12-28,0.0,0.997005988023952,0.0029940119760479
29,2025-01-04,0.0,1.0,0.0
29,2025-01-11,0.0,0.9975247524752476,0.0024752475247524
29,2025-01-18,0.0525430853299705,0.8566624632198403,0.0907944514501891
29,2025-02-01,0.7175951461665747,0.0849420849420849,0.1974627688913403
29,2025-02-08,0.9999999999999999,0.0,0.0
29,2025-02-15,0.8827110389610389,0.0556006493506492,0.0616883116883116
29,2025-02-22,0.9830148619957536,0.0042462845010615,0.0127388535031847
29,2025-03-01,0.993857315598549,0.002515114873035,0.0036275695284159
29,2025-03-08,1.0,0.0,0.0
29,2025-03-15,0.9596730245231607,0.0049046321525885,0.0354223433242506
29,2025-03-22,0.9734685914943426,0.000390167772142,0.0261412407335154
30,2023-10-14,0.0,0.176470588235294,0.8235294117647058
30,2023-10-21,0.0,0.0,1.0
30,2023-10-28,0.0,0.0,1.0
30,2023-11-04,0.0,0.0,1.0
30,2023-11-11,0.0,0.0,1.0
30,2023-11-18,0.0,0.0,1.0
30,2023-11-25,0.0,0.0171392957307572,0.9828607042692428
30,2023-12-02,0.0,0.0019821605550049,0.998017839444995
30,2023-12-09,0.002680965147453,0.1492403932082215,0.8480786416443253
30,2023-12-16,0.0,0.5941889782686997,0.4058110217313003
30,2023-12-23,0.0035424522911667,0.7119757741972346,0.2844817735115987
30,2023-12-30,0.0113247116392869,0.647605732261447,0.341069556099266
30,2024-01-06,0.0072258875274897,0.8821866163996228,0.1105874960728872
30,2024-01-13,0.1793905120955073,0.44580584354382646,0.374803644360666
30,2024-01-20,0.7686240140227869,0.0219106047326905,0.2094653812445223
30,2024-01-27,0.5100756738372587,0.1676728169373352,0.322251509225406
30,2024-02-03,0.612894805533803,0.0678673975463324,0.3192377969198642
30,2024-02-10,0.8176416215502442,0.0200713059553677,0.1622870724943879
30,2024-02-17,0.9604743083003952,0.0,0.0395256916996047
30,2024-02-24,0.0003961441964875,0.4780139970949425,0.5215898587085699
30,2024-03-02,0.1267496111975116,0.0015552099533437,0.8716951788491446
30,2024-03-09,0.23,0.0,0.77
30,2024-03-16,0.474,0.0,0.526
30,2024-03-23,0.987,0.0,0.013
30,2024-03-30,0.063,0.0,0.937
30,2024-04-06,0.852,0.0,0.148
30,2024-04-13,0.0,0.0,1.0
30,2024-04-20,0.0,0.0,1.0
30,2024-04-27,0.0,0.0,1.0
30,2024-05-04,0.0,0.0,1.0
30,2024-11-30,0.0,0.0,1.0
30,2024-12-07,0.0,0.0,1.0
30,2024-12-14,0.0,0.0,1.0
30,2024-12-21,0.0,0.0,1.0
30,2024-12-28,0.0,0.5977130977130978,0.4022869022869023
30,2025-01-04,0.0,0.9879154078549847,0.0120845921450151
30,2025-01-11,0.0,0.9275766016713092,0.0724233983286908
30,2025-01-18,0.0134510298444724,0.6843211433375367,0.3022278268179907
30,2025-02-01,0.0411622276029055,0.2130750605326876,0.7457627118644068
30,2025-02-08,0.5806563039723662,0.0386873920552676,0.3806563039723661
30,2025-02-15,0.684850863422292,0.0883045525902668,0.2268445839874411
30,2025-02-22,0.3464285714285714,0.2738095238095237,0.3797619047619047
30,2025-03-01,0.9969183359013867,0.0,0.0030816640986132
30,2025-03-08,0.9466382070437567,0.0085378868729988,0.0448239060832443
30,2025-03-15,0.9999999999999999,0.0,0.0
30,2025-03-22,0.9366812227074235,0.0,0.0633187772925764
31,2023-10-14,0.0,0.032520325203252,0.967479674796748
31,2023-10-21,0.0,0.0076335877862595,0.9923664122137404
31,2023-10-28,0.0,0.0095238095238095,0.9904761904761904
31,2023-11-04,0.0,0.0,1.0
31,2023-11-11,0.0,0.0,1.0
31,2023-11-18,0.0,0.0,1.0
31,2023-11-25,0.0,0.0,1.0
31,2023-12-02,0.0,0.0,1.0
31,2023-12-09,0.0,0.0,1.0
31,2023-12-16,0.0,0.0006654589818477,0.9993345410181522
31,2023-12-23,0.0,0.0033720646786381,0.9966279353213618
31,2023-12-30,0.0438308283816847,0.1573575672841663,0.7988116043341489
31,2024-01-06,0.0,0.6594407791391769,0.3405592208608231
31,2024-01-13,0.0,0.4448633364750235,0.5551366635249765
31,2024-01-20,0.0,0.1587078651685392,0.8412921348314607
31,2024-01-27,0.0,0.0252206809583858,0.974779319041614
31,2024-02-03,0.1365817945172049,0.0354673391360936,0.8279508663467013
31,2024-02-10,0.083748850268674,0.0885898242726436,0.8276613254586823
31,2024-02-17,0.2743865948533812,0.0286255735088768,0.6969878316377419
31,2024-02-24,0.0923361034164358,0.0,0.9076638965835642
31,2024-03-02,0.692090395480226,0.0,0.307909604519774
31,2024-03-09,0.897,0.0,0.103
31,2024-03-16,0.635,0.0,0.365
31,2024-03-23,0.665,0.001,0.334
31,2024-03-30,0.213,0.0,0.787
31,2024-04-06,0.038,0.001,0.961
31,2024-04-13,0.124,0.0,0.876
31,2024-04-20,0.028,0.0,0.972
31,2024-04-27,0.0,0.0,1.0
31,2024-05-04,0.0,0.0,1.0
31,2024-11-30,0.0,0.0080645161290322,0.9919354838709676
31,2024-12-07,0.0,0.0206264323911382,0.9793735676088616
31,2024-12-14,0.0,0.0211619853789919,0.978838014621008
31,2024-12-21,0.0,0.0793650793650793,0.9206349206349206
31,2024-12-28,0.0512820512820512,0.4487179487179487,0.5
31,2025-01-04,0.0,0.9999999999999999,0.0
31,2025-01-11,0.0,0.9637681159420289,0.036231884057971
31,2025-01-18,0.1416561580496006,0.6712904581757041,0.1870533837746952
31,2025-02-01,0.6304034582132564,0.0979827089337175,0.2716138328530259
31,2025-02-08,0.9765957446808509,0.0053191489361702,0.0180851063829787
31,2025-02-15,0.578220011055832,0.23770038695411821,0.1840796019900497
31,2025-02-22,0.7986577181208054,0.084731543624161,0.1166107382550335
31,2025-03-01,0.9260407440212577,0.015943312666076098,0.058015943312666
31,2025-03-08,0.8871434477056634,0.0231500620090946,0.0897064902852418
31,2025-03-15,0.9233750745378653,0.0044722719141323,0.0721526535480023
31,2025-03-22,0.9362962962962962,0.0002962962962962,0.0634074074074074
32,2023-10-14,0.0,0.0275590551181102,0.9724409448818898
32,2023-10-21,0.0,0.0,1.0
32,2023-10-28,0.0,0.0,1.0
32,2023-11-04,0.0,0.0,1.0
32,2023-11-11,0.0,0.0,1.0
32,2023-11-18,0.0,0.0,1.0
32,2023-11-25,0.0,0.038641321283889,0.9613586787161108
32,2023-12-02,0.0,0.0094086021505376,0.9905913978494624
32,2023-12-09,0.0,0.2407843137254901,0.7592156862745097
32,2023-12-16,0.0160039457124392,0.3568148576482193,0.6271811966393415
32,2023-12-23,0.0618359541011474,0.44867287408723866,0.4894911718116138
32,2023-12-30,0.0396364907375043,0.3351275777700104,0.6252359314924851
32,2024-01-06,0.000942507068803,0.6459315111530003,0.3531259817781966
32,2024-01-13,0.0355010995915802,0.31354068488847,0.6509582155199497
32,2024-01-20,0.5465935787000783,0.0086139389193422,0.4447924823805795
32,2024-01-27,0.1137107528185234,0.08025215177597281,0.8060370954055037
32,2024-02-03,0.0060532687651331,0.0048426150121065,0.9891041162227604
32,2024-02-10,0.0006422607578676,0.0025690430314707,0.9967886962106616
32,2024-02-17,0.0,0.0,1.0
